Timestamp,Demand_mean_kw,N_households,Household_Movement,Month_Year
2017-01-02 12:00:00,0.3361327563984533,5431.0,0.0,Jan-2017
2017-01-02 12:30:00,0.3372763763579451,5431.0,0.0,Jan-2017
2017-01-02 13:00:00,0.3413305100349843,5431.0,0.0,Jan-2017
2017-01-02 13:30:00,0.3304461425151906,5431.0,0.0,Jan-2017
2017-01-02 14:00:00,0.325569508377831,5431.0,0.0,Jan-2017
2017-01-02 14:30:00,0.322897808874977,5431.0,0.0,Jan-2017
2017-01-02 15:00:00,0.3264984349106979,5431.0,0.0,Jan-2017
2017-01-02 15:30:00,0.3456199594918064,5431.0,0.0,Jan-2017
2017-01-02 16:00:00,0.3922456269563616,5431.0,0.0,Jan-2017
2017-01-02 16:30:00,0.4408983612594365,5431.0,0.0,Jan-2017
2017-01-02 17:00:00,0.4762027250966674,5431.0,0.0,Jan-2017
2017-01-02 17:30:00,0.4834698950469527,5431.0,0.0,Jan-2017
2017-01-02 18:00:00,0.4748107162585159,5431.0,0.0,Jan-2017
2017-01-02 18:30:00,0.4572401031117657,5431.0,0.0,Jan-2017
2017-01-02 19:00:00,0.4427217823605229,5431.0,0.0,Jan-2017
2017-01-02 19:30:00,0.417241207880685,5431.0,0.0,Jan-2017
2017-01-02 20:00:00,0.3993085987847541,5431.0,0.0,Jan-2017
2017-01-02 20:30:00,0.3852929478917327,5431.0,0.0,Jan-2017
2017-01-02 21:00:00,0.3584093168845517,5431.0,0.0,Jan-2017
2017-01-02 21:30:00,0.3356194071073467,5431.0,0.0,Jan-2017
2017-01-02 22:00:00,0.3096155404161296,5431.0,0.0,Jan-2017
2017-01-02 22:30:00,0.2821320198858405,5431.0,0.0,Jan-2017
2017-01-02 23:00:00,0.2451627692874241,5431.0,0.0,Jan-2017
2017-01-02 23:30:00,0.2157939605965751,5431.0,0.0,Jan-2017
2017-01-03 00:00:00,0.1892031423290203,5410.0,-21.0,Jan-2017
2017-01-03 00:30:00,0.1674128626871188,5411.0,1.0,Jan-2017
2017-01-03 01:00:00,0.1484841988541859,5411.0,0.0,Jan-2017
2017-01-03 01:30:00,0.1370484198854185,5411.0,0.0,Jan-2017
2017-01-03 02:00:00,0.128444280170024,5411.0,0.0,Jan-2017
2017-01-03 02:30:00,0.1242119756052485,5411.0,0.0,Jan-2017
2017-01-03 03:00:00,0.1175078543707262,5411.0,0.0,Jan-2017
2017-01-03 03:30:00,0.1127257438551099,5411.0,0.0,Jan-2017
2017-01-03 04:00:00,0.1132297172426538,5411.0,0.0,Jan-2017
2017-01-03 04:30:00,0.1140933284051007,5411.0,0.0,Jan-2017
2017-01-03 05:00:00,0.1177538347810016,5411.0,0.0,Jan-2017
2017-01-03 05:30:00,0.1225671779708002,5411.0,0.0,Jan-2017
2017-01-03 06:00:00,0.1399061171687304,5411.0,0.0,Jan-2017
2017-01-03 06:30:00,0.154143411569026,5411.0,0.0,Jan-2017
2017-01-03 07:00:00,0.1680596932175198,5411.0,0.0,Jan-2017
2017-01-03 07:30:00,0.187587506930327,5411.0,0.0,Jan-2017
2017-01-03 08:00:00,0.195571138211382,5412.0,1.0,Jan-2017
2017-01-03 08:30:00,0.2290905060953084,5414.0,2.0,Jan-2017
2017-01-03 09:00:00,0.2585265977096416,5414.0,0.0,Jan-2017
2017-01-03 09:30:00,0.283105097894348,5414.0,0.0,Jan-2017
2017-01-03 10:00:00,0.2967383677991137,5416.0,2.0,Jan-2017
2017-01-03 10:30:00,0.307016980435585,5418.0,2.0,Jan-2017
2017-01-03 11:00:00,0.3209545957918051,5418.0,0.0,Jan-2017
2017-01-03 11:30:00,0.328949815498155,5420.0,2.0,Jan-2017
2017-01-03 12:00:00,0.3331270514475383,5423.0,3.0,Jan-2017
2017-01-03 12:30:00,0.323673732718894,5425.0,2.0,Jan-2017
2017-01-03 13:00:00,0.3225373986735445,5428.0,3.0,Jan-2017
2017-01-03 13:30:00,0.3170930018416206,5430.0,2.0,Jan-2017
2017-01-03 14:00:00,0.3096104972375691,5430.0,0.0,Jan-2017
2017-01-03 14:30:00,0.314818265512797,5431.0,1.0,Jan-2017
2017-01-03 15:00:00,0.3120907417632984,5433.0,2.0,Jan-2017
2017-01-03 15:30:00,0.3315985280588778,5435.0,2.0,Jan-2017
2017-01-03 16:00:00,0.3697070837166513,5435.0,0.0,Jan-2017
2017-01-03 16:30:00,0.4239181383370125,5436.0,1.0,Jan-2017
2017-01-03 17:00:00,0.472311568879897,5437.0,1.0,Jan-2017
2017-01-03 17:30:00,0.4821662681625897,5437.0,0.0,Jan-2017
2017-01-03 18:00:00,0.4868736435534302,5437.0,0.0,Jan-2017
2017-01-03 18:30:00,0.473171418061431,5437.0,0.0,Jan-2017
2017-01-03 19:00:00,0.4481548648151554,5437.0,0.0,Jan-2017
2017-01-03 19:30:00,0.425843479860217,5437.0,0.0,Jan-2017
2017-01-03 20:00:00,0.4071166084237632,5437.0,0.0,Jan-2017
